V	FIX.5.0SP2
F	1	Acct
F	2	AdvId
F	3	AdvRefID
F	4	AdvSide
F	5	AdvTransTyp
F	6	AvgPx
F	7	BeginSeqNo
F	8	BeginString
F	9	BodyLength
F	10	CheckSum
F	11	ClOrdID
F	12	Comm
F	13	CommTyp
F	14	CumQty
F	15	Ccy
F	16	EndSeqNo
F	17	ExecID
F	18	ExecInst
F	19	ExecRefID
F	21	HandlInst
F	22	Src
F	23	IOIID
F	25	QltyInd
F	26	RefID
F	27	Qty
F	28	TransTyp
F	29	LastCpcty
F	30	LastMkt
F	31	LastPx
F	32	LastQty
F	33	NoLinesOfText
F	34	SeqNum
F	35	MsgTyp
F	36	NewSeqNo
F	37	OrdID
F	38	Qty
F	39	OrdStat
F	40	OrdTyp
F	41	OrigClOrdID
F	42	OrigTm
F	43	PosDup
F	44	Px
F	45	RefSeqNum
F	48	ID
F	49	SID
F	50	SSub
F	52	Snt
F	53	Qty
F	54	Side
F	55	Sym
F	56	TID
F	57	TSub
F	58	Txt
F	59	TmInForce
F	60	TxnTm
F	61	Urgency
F	62	ValidUntilTm
F	63	SettlTyp
F	64	SettlDt
F	65	Sfx
F	66	ListID
F	67	ListSeqNo
F	68	TotNoOrds
F	69	ListExecInst
F	70	AllocID
F	71	TransTyp
F	72	RefAllocID
F	73	NoOrds
F	74	AvgPxPrcsn
F	75	TrdDt
F	77	PosEfct
F	78	NoAllocs
F	79	Acct
F	80	Qty
F	81	ProcCode
F	82	NoRpts
F	83	RptSeq
F	84	CxlQty
F	85	NoDlvyInst
F	87	Stat
F	88	RejCode
F	89	Signature
F	90	SecureDataLen
F	91	SecureData
F	93	SignatureLength
F	94	EmailTyp
F	95	RawDataLength
F	96	RawData
F	97	PosRsnd
F	98	EncryptMethod
F	99	StopPx
F	100	ExDest
F	102	CxlRejRsn
F	103	RejRsn
F	104	Qual
F	106	Issr
F	107	Desc
F	108	HeartBtInt
F	110	MinQty
F	111	MaxFloor
F	112	TestReqID
F	113	RptToExch
F	114	LocReqd
F	115	OBID
F	116	OBSub
F	117	QID
F	118	NetMny
F	119	SettlCurrAmt
F	120	SettlCcy
F	121	ForexReq
F	122	OrigSnt
F	123	GapFillFlag
F	124	NoExecs
F	126	ExpireTm
F	127	DkRsn
F	128	D2ID
F	129	D2Sub
F	130	NatFlag
F	131	ReqID
F	132	BidPx
F	133	OfrPx
F	134	BidSz
F	135	OfrSz
F	136	NoMiscFees
F	137	Amt
F	138	Curr
F	139	Typ
F	140	PrevClsPx
F	141	ResetSeqNumFlag
F	142	SLoc
F	143	TLoc
F	144	OBLoc
F	145	D2Loc
F	146	NoReltdSym
F	147	Subject
F	148	Headline
F	149	URL
F	150	ExecTyp
F	151	LeavesQty
F	152	Cash
F	153	AvgPx
F	154	NetMny
F	155	SettlCurrFxRt
F	156	SettlCurrFxRtCalc
F	157	NumDaysInt
F	158	AcrdIntRt
F	159	AcrdIntAmt
F	160	SettlInstMode
F	161	Txt
F	162	SettlInstID
F	163	SettlInstTransTyp
F	164	EmailThreadID
F	165	InstSrc
F	167	SecTyp
F	168	EfctvTm
F	169	StandInstDbTyp
F	170	StandInstDbName
F	171	StandInstDbID
F	172	DlvryTyp
F	188	BidSpotRt
F	189	BidFwdPnts
F	190	OfrSpotRt
F	191	OfrFwdPnts
F	192	Qty2
F	193	SettlDt2
F	194	LastSpotRt
F	195	LastFwdPnts
F	196	LinkID
F	197	LinkTyp
F	198	OrdID2
F	199	NoIOIQuals
F	200	MMY
F	201	PutCall
F	202	StrkPx
F	203	Covered
F	206	OptAt
F	207	Exch
F	208	NotifyBrkrOfCredit
F	209	HandlInst
F	210	MaxShow
F	211	OfstVal
F	212	XmlDataLen
F	213	XmlData
F	214	SettlInstRefID
F	215	NoRtgIDs
F	216	RtgTyp
F	217	RtgID
F	218	Spread
F	220	Ccy
F	221	Name
F	222	Point
F	223	CpnRt
F	224	CpnPmt
F	225	Issued
F	226	RepoTrm
F	227	RepoRt
F	228	Fctr
F	229	OrignDt
F	230	ExDt
F	231	Mult
F	232	NoStips
F	233	Typ
F	234	Val
F	235	Typ
F	236	Yld
F	237	TotTakedown
F	238	Concession
F	239	RepoCollSecTyp
F	240	Redeem
F	241	CpnPmt
F	242	Issued
F	243	RepoCollSecTyp
F	244	RepoTrm
F	245	RepoRt
F	246	Fctr
F	247	Redeem
F	248	CpnPmt
F	249	Issued
F	250	RepoCollSecTyp
F	251	RepoTrm
F	252	RepoRt
F	253	Fctr
F	254	Redeem
F	255	CrdRtg
F	256	CrdRtg
F	257	CrdRtg
F	258	TrddFlatSwitch
F	259	BasisFeatureDt
F	260	BasisFeaturePx
F	262	ReqID
F	263	SubReqTyp
F	264	MktDepth
F	265	UpdtTyp
F	266	AggBook
F	267	NoMDEntryTyps
F	268	NoMDEntries
F	269	Typ
F	270	Px
F	271	Sz
F	272	Dt
F	273	Tm
F	274	TickDirctn
F	275	Mkt
F	276	QCond
F	277	TrdCond
F	278	ID
F	279	UpdtAct
F	280	RefID
F	281	ReqRejResn
F	282	Orig
F	283	LctnID
F	284	DeskID
F	285	DelRsn
F	286	OpenClsSettlFlag
F	287	SellerDays
F	288	Buyer
F	289	Seller
F	290	PosNo
F	291	FinclStat
F	292	CorpActn
F	293	DefBidSz
F	294	DefOfrSz
F	295	NoQuotEntries
F	296	NoQuotSets
F	297	Stat
F	298	CxlTyp
F	299	EntryID
F	300	RejRsn
F	301	RspLvl
F	302	SetID
F	303	ReqTyp
F	304	TotNoQuotEntries
F	305	Src
F	306	Issr
F	307	Desc
F	308	Exch
F	309	ID
